Filename,Movie,Link,Start Time,End Time,Duration (s),Character,Emotion
0h03m03s_seg0022.wav,Cây táo nở hóa,https://www.youtube.com/watch?v=6mYmvO_7hR0,00:03:03,00:03:07,4.42,Ngọc,Neutral
0h03m12s_seg0024_part1.wav,Cây táo nở hóa,https://www.youtube.com/watch?v=6mYmvO_7hR0,00:03:12,00:03:16,4.0,Ngà,Sadness
0h04m08s_seg0042.wav,Cây táo nở hóa,https://www.youtube.com/watch?v=6mYmvO_7hR0,00:04:08,00:04:12,4.19,Ngà,Sadness
0h04m19s_seg0045.wav,Cây táo nở hóa,https://www.youtube.com/watch?v=6mYmvO_7hR0,00:04:19,00:04:23,04.04,Ngọc,Neutral
0h04m44s_seg0052_part1.wav,Cây táo nở hóa,https://www.youtube.com/watch?v=6mYmvO_7hR0,00:04:44,00:04:48,4.0,Ngọc,Neutral
0h05m09s_seg0058.wav,Cây táo nở hóa,https://www.youtube.com/watch?v=6mYmvO_7hR0,00:05:09,00:05:12,3.71,Ngọc,Anxiety
0h07m19s_seg0079_part10.wav,Cây táo nở hóa,https://www.youtube.com/watch?v=6mYmvO_7hR0,00:07:19,00:07:23,4.0,Ngà,Sadness
0h07m19s_seg0079_part12.wav,Cây táo nở hóa,https://www.youtube.com/watch?v=6mYmvO_7hR0,00:07:19,00:07:22,3.94,Châu,Neutral
0h07m19s_seg0079_part4.wav,Cây táo nở hóa,https://www.youtube.com/watch?v=6mYmvO_7hR0,00:07:19,00:07:23,4.0,Châu,Neutral
0h07m19s_seg0079_part8.wav,Cây táo nở hóa,https://www.youtube.com/watch?v=6mYmvO_7hR0,00:07:19,00:07:23,4.0,Ngà,Sadness
0h07m19s_seg0079_part9.wav,Cây táo nở hóa,https://www.youtube.com/watch?v=6mYmvO_7hR0,00:07:19,00:07:23,4.0,Châu,Neutral
0h08m10s_seg0081_part1.wav,Cây táo nở hóa,https://www.youtube.com/watch?v=6mYmvO_7hR0,00:08:10,00:08:14,4.0,Ngà,Sadness
0h08m10s_seg0081_part2.wav,Cây táo nở hóa,https://www.youtube.com/watch?v=6mYmvO_7hR0,00:08:10,00:08:14,4.0,Ngà,Sadness
0h11m20s_seg0106.wav,Cây táo nở hóa,https://www.youtube.com/watch?v=6mYmvO_7hR0,00:11:20,00:11:23,03.06,Dư,Neutral
0h11m24s_seg0107.wav,Cây táo nở hóa,https://www.youtube.com/watch?v=6mYmvO_7hR0,00:11:24,00:11:28,4.77,Ngà,Neutral
0h12m40s_seg0113.wav,Cây táo nở hóa,https://www.youtube.com/watch?v=6mYmvO_7hR0,00:12:40,00:12:43,3.38,Ca sĩ,Neutral
0h12m52s_seg0116.wav,Cây táo nở hóa,https://www.youtube.com/watch?v=6mYmvO_7hR0,00:12:52,00:12:55,3.39,Ca sĩ,Neutral
0h12m57s_seg0117_part1.wav,Cây táo nở hóa,https://www.youtube.com/watch?v=6mYmvO_7hR0,00:12:57,00:13:01,4.0,Ca sĩ,Neutral
