Filename,Movie,Link,Start Time,End Time,Duration (s),Character,Emotion
0h00m35s_seg0007.wav,Gia đình mình vui bất thình lình phần 3,https://www.youtube.com/watch?v=7CiOoVB6sSE,00:00:35,00:00:39,4.22,Nữ,Neutral
0h00m48s_seg0010_part1.wav,Gia đình mình vui bất thình lình phần 3,https://www.youtube.com/watch?v=7CiOoVB6sSE,00:00:48,00:00:52,4.0,Nam,Neutral
0h00m56s_seg0011_part1.wav,Gia đình mình vui bất thình lình phần 3,https://www.youtube.com/watch?v=7CiOoVB6sSE,00:00:56,00:01:00,4.0,Nữ,Neutral
0h01m27s_seg0020.wav,Gia đình mình vui bất thình lình phần 3,https://www.youtube.com/watch?v=7CiOoVB6sSE,00:01:27,00:01:30,3.77,Nam,Neutral
0h02m51s_seg0044.wav,Gia đình mình vui bất thình lình phần 3,https://www.youtube.com/watch?v=7CiOoVB6sSE,00:02:51,00:02:54,3.89,Nữ,Anxiety
0h03m13s_seg0049_part1.wav,Gia đình mình vui bất thình lình phần 3,https://www.youtube.com/watch?v=7CiOoVB6sSE,00:03:13,00:03:17,4.0,Nam,Sadness
0h03m20s_seg0050.wav,Gia đình mình vui bất thình lình phần 3,https://www.youtube.com/watch?v=7CiOoVB6sSE,00:03:20,00:03:24,04.08,Nam,Sadness
0h03m36s_seg0055.wav,Gia đình mình vui bất thình lình phần 3,https://www.youtube.com/watch?v=7CiOoVB6sSE,00:03:36,00:03:40,4.9,Nam,Sadness
0h03m50s_seg0058.wav,Gia đình mình vui bất thình lình phần 3,https://www.youtube.com/watch?v=7CiOoVB6sSE,00:03:50,00:03:54,4.52,Nam,Sadness
0h03m56s_seg0059.wav,Gia đình mình vui bất thình lình phần 3,https://www.youtube.com/watch?v=7CiOoVB6sSE,00:03:56,00:03:59,3.82,Nam,Sadness
0h04m38s_seg0064.wav,Gia đình mình vui bất thình lình phần 3,https://www.youtube.com/watch?v=7CiOoVB6sSE,00:04:38,00:04:42,04.01,Nữ,Neutral
0h04m47s_seg0066.wav,Gia đình mình vui bất thình lình phần 3,https://www.youtube.com/watch?v=7CiOoVB6sSE,00:04:47,00:04:51,4.33,Nữ,Anxiety
0h06m14s_seg0079_part3.wav,Gia đình mình vui bất thình lình phần 3,https://www.youtube.com/watch?v=7CiOoVB6sSE,00:06:14,00:06:18,4.0,Nữ,Neutral
0h06m42s_seg0080.wav,Gia đình mình vui bất thình lình phần 3,https://www.youtube.com/watch?v=7CiOoVB6sSE,00:06:42,00:06:45,03.02,Nữ,Neutral
0h07m10s_seg0085_part2.wav,Gia đình mình vui bất thình lình phần 3,https://www.youtube.com/watch?v=7CiOoVB6sSE,00:07:10,00:07:14,4.0,Nữ,Happiness
0h07m24s_seg0086_part4.wav,Gia đình mình vui bất thình lình phần 3,https://www.youtube.com/watch?v=7CiOoVB6sSE,00:07:24,00:07:28,4.0,Nữ,Happiness
0h07m41s_seg0087_part1.wav,Gia đình mình vui bất thình lình phần 3,https://www.youtube.com/watch?v=7CiOoVB6sSE,00:07:41,00:07:45,4.0,Nữ,Happiness
0h07m41s_seg0087_part2.wav,Gia đình mình vui bất thình lình phần 3,https://www.youtube.com/watch?v=7CiOoVB6sSE,00:07:41,00:07:45,4.0,Nữ,Neutral
0h08m31s_seg0091_part1.wav,Gia đình mình vui bất thình lình phần 3,https://www.youtube.com/watch?v=7CiOoVB6sSE,00:08:31,00:08:35,4.0,Nữ,Anger
0h08m40s_seg0092_part2.wav,Gia đình mình vui bất thình lình phần 3,https://www.youtube.com/watch?v=7CiOoVB6sSE,00:08:40,00:08:44,4.0,Nữ,Anger
0h09m03s_seg0095_part2.wav,Gia đình mình vui bất thình lình phần 3,https://www.youtube.com/watch?v=7CiOoVB6sSE,00:09:03,00:09:06,3.15,Nữ,Neutral
0h10m24s_seg0110.wav,Gia đình mình vui bất thình lình phần 3,https://www.youtube.com/watch?v=7CiOoVB6sSE,00:10:24,00:10:27,3.73,Nữ,Neutral
0h10m32s_seg0112_part1.wav,Gia đình mình vui bất thình lình phần 3,https://www.youtube.com/watch?v=7CiOoVB6sSE,00:10:32,00:10:36,4.0,Nữ,Neutral
