Filename,Movie,Link,Start Time,End Time,Duration (s),Character,Emotion
0h00m00s_seg0000_part1.wav,Gia đình mình vui bất thình lình part 2,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:00:00,00:00:04,4.0,Thành,Neutral
0h00m00s_seg0000_part2.wav,Gia đình mình vui bất thình lình part 3,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:00:00,00:00:04,4.0,Thành,Neutral
0h00m00s_seg0000_part3.wav,Gia đình mình vui bất thình lình part 4,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:00:00,00:00:04,4.0,Thành,Neutral
0h00m26s_seg0006_part1.wav,Gia đình mình vui bất thình lình part 5,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:00:26,00:00:30,4.0,Thành,Anxiety
0h00m26s_seg0006_part2.wav,Gia đình mình vui bất thình lình part 6,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:00:26,00:00:30,4.0,Thành,Anxiety
0h00m26s_seg0006_part3.wav,Gia đình mình vui bất thình lình part 7,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:00:26,00:00:30,4.0,Thành,Anxiety
0h01m14s_seg0012.wav,Gia đình mình vui bất thình lình part 8,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:01:14,00:01:17,"3,9",Hà,Anger
0h01m19s_seg0013.wav,Gia đình mình vui bất thình lình part 9,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:01:19,00:01:22,3.23,Hà,Anger
0h01m23s_seg0014.wav,Gia đình mình vui bất thình lình part 10,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:01:23,00:01:26,3.91,Hà,Anger
0h01m38s_seg0018_part1.wav,Gia đình mình vui bất thình lình part 11,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:01:38,00:01:42,4.0,Thành,Anxiety
0h01m38s_seg0018_part2.wav,Gia đình mình vui bất thình lình part 12,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:01:38,00:01:40,2.79,Thành,Anxiety
0h01m48s_seg0020_part1.wav,Gia đình mình vui bất thình lình part 13,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:01:48,00:01:52,4.0,Thành,Anixety
0h02m11s_seg0024_part1.wav,Gia đình mình vui bất thình lình part 16,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:02:11,00:02:15,4.0,Hà,Anger
0h02m53s_seg0031.wav,Gia đình mình vui bất thình lình part 19,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:02:53,00:02:57,4.36,Hà,Anger
0h02m58s_seg0032_part1.wav,Gia đình mình vui bất thình lình part 20,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:02:58,00:03:02,4.0,Hà,Neutral
0h02m58s_seg0032_part2.wav,Gia đình mình vui bất thình lình part 21,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:02:58,00:03:02,4.0,Hà,Neutral
0h02m58s_seg0032_part3.wav,Gia đình mình vui bất thình lình part 22,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:02:58,00:03:02,4.0,Hà,Anger
0h03m11s_seg0033.wav,Gia đình mình vui bất thình lình part 23,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:03:11,00:03:14,"3,4",Hà,Anger
0h03m17s_seg0034.wav,Gia đình mình vui bất thình lình part 24,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:03:17,00:03:20,"3,1",Hà,Neutral
0h03m30s_seg0037.wav,Gia đình mình vui bất thình lình part 26,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:03:30,00:03:33,3.74,Hà,Anger
0h03m44s_seg0041.wav,Gia đình mình vui bất thình lình part 27,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:03:44,00:03:47,3.48,Hà,Anger
0h03m59s_seg0045_part1.wav,Gia đình mình vui bất thình lình part 28,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:03:59,00:04:03,4.0,Thành,Anger
0h03m59s_seg0045_part2.wav,Gia đình mình vui bất thình lình part 29,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:03:59,00:04:03,4.0,"Hà, Thành",Anger
0h03m59s_seg0045_part3.wav,Gia đình mình vui bất thình lình part 30,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:03:59,00:04:03,4.0,"Hà, Thành",Anger
0h03m59s_seg0045_part4.wav,Gia đình mình vui bất thình lình part 31,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:03:59,00:04:03,4.0,"Hà, Thành",Anger
0h03m59s_seg0045_part5.wav,Gia đình mình vui bất thình lình part 32,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:03:59,00:04:02,3.58,"Hà, Thành",Anger
0h05m39s_seg0067.wav,Gia đình mình vui bất thình lình part 34,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:05:39,00:05:43,4.19,Hà,Neutral
0h05m51s_seg0070_part1.wav,Gia đình mình vui bất thình lình part 35,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:05:51,00:05:55,4.0,Hà,Neutral
0h05m51s_seg0070_part2.wav,Gia đình mình vui bất thình lình part 36,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:05:51,00:05:55,4.0,Hà,Neutral
0h05m51s_seg0070_part3.wav,Gia đình mình vui bất thình lình part 37,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:05:51,00:05:55,4.0,Hà,Neutral
0h05m51s_seg0070_part4.wav,Gia đình mình vui bất thình lình part 38,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:05:51,00:05:55,",",Hà,Neutral
0h06m55s_seg0074.wav,Gia đình mình vui bất thình lình part 39,https://www.youtube.com/watch?v=tsdE_qpQzZo,00:06:55,00:06:58,"3,9",Hà,Neutral
