Filename,Movie,Link,Start Time,End Time,Duration (s),Character,Emotion
0h00m39s_seg0008_part2.wav,Quỳnh búp bê,https://www.youtube.com/watch?v=awy_8p0pTC4,00:00:39,00:00:43,4.0,Nữ,Anxiety
0h00m39s_seg0008_part3.wav,Quỳnh búp bê,https://www.youtube.com/watch?v=awy_8p0pTC4,00:00:39,00:00:42,3.43,Nữ,Anxiety
0h00m52s_seg0009.wav,Quỳnh búp bê,https://www.youtube.com/watch?v=awy_8p0pTC4,00:00:52,00:00:56,4.61,Nữ,Anxiety
0h00m57s_seg0010_part5.wav,Quỳnh búp bê,https://www.youtube.com/watch?v=awy_8p0pTC4,00:00:57,00:01:01,4.0,Nữ,Anxiety
0h00m57s_seg0010_part6.wav,Quỳnh búp bê,https://www.youtube.com/watch?v=awy_8p0pTC4,00:00:57,00:01:01,4.0,Nam,Neutral
0h00m57s_seg0010_part7.wav,Quỳnh búp bê,https://www.youtube.com/watch?v=awy_8p0pTC4,00:00:57,00:01:01,4.0,Nữ,Anxiety
0h00m57s_seg0010_part9.wav,Quỳnh búp bê,https://www.youtube.com/watch?v=awy_8p0pTC4,00:00:57,00:01:00,3.43,Nam,Anger
0h01m33s_seg0011_part2.wav,Quỳnh búp bê,https://www.youtube.com/watch?v=awy_8p0pTC4,00:01:33,00:01:37,4.0,Nữ,Anxiety
0h01m33s_seg0011_part3.wav,Quỳnh búp bê,https://www.youtube.com/watch?v=awy_8p0pTC4,00:01:33,00:01:37,4.0,Nữ,Anxiety
0h02m14s_seg0013_part5.wav,Quỳnh búp bê,https://www.youtube.com/watch?v=awy_8p0pTC4,00:02:14,00:02:18,4.0,Nữ,Anxiety
0h02m14s_seg0013_part6.wav,Quỳnh búp bê,https://www.youtube.com/watch?v=awy_8p0pTC4,00:02:14,00:02:18,4.0,Nữ,Anxiety
0h02m14s_seg0013_part11.wav,Quỳnh búp bê,https://www.youtube.com/watch?v=awy_8p0pTC4,00:02:14,00:02:18,4.0,Nữ,Anxiety
0h02m14s_seg0013_part12.wav,Quỳnh búp bê,https://www.youtube.com/watch?v=awy_8p0pTC4,00:02:14,00:02:18,4.0,Nữ,Anxiety
0h04m29s_seg0031.wav,Quỳnh búp bê,https://www.youtube.com/watch?v=awy_8p0pTC4,00:04:29,00:04:33,4.57,Nam,Anger
0h04m47s_seg0039.wav,Quỳnh búp bê,https://www.youtube.com/watch?v=awy_8p0pTC4,00:04:47,00:04:50,3.17,Nữ,Anxiety
0h04m50s_seg0040.wav,Quỳnh búp bê,https://www.youtube.com/watch?v=awy_8p0pTC4,00:04:50,00:04:54,4.28,Nữ,Anxiety
