Filename,Movie,Link,Start,End,Duration,Character,Emotion,confidence
0h00m36s_seg0018.wav,"Hoa Hồng Trên Ngực Trái tập 9 (13) Phát hiện mẹ chồng giả khờ, con dâu nhanh trí bỏ chạy",https://www.youtube.com/watch?v=6ptOd6dqe_o,00:00:36,00:00:39,03.07,Nữ,sadness,"0,422844"
0h00m58s_seg0027.wav,"Hoa Hồng Trên Ngực Trái tập 9 (13) Phát hiện mẹ chồng giả khờ, con dâu nhanh trí bỏ chạy",https://www.youtube.com/watch?v=6ptOd6dqe_o,00:00:58,00:01:02,4.74,Nữ,anger,"0,278143"
0h02m25s_seg0057.wav,"Hoa Hồng Trên Ngực Trái tập 9 (13) Phát hiện mẹ chồng giả khờ, con dâu nhanh trí bỏ chạy",https://www.youtube.com/watch?v=6ptOd6dqe_o,00:02:25,00:02:28,3.24,Nam,anger,"0,544937"
0h02m33s_seg0058_part1.wav,"Hoa Hồng Trên Ngực Trái tập 9 (13) Phát hiện mẹ chồng giả khờ, con dâu nhanh trí bỏ chạy",https://www.youtube.com/watch?v=6ptOd6dqe_o,00:02:33,00:02:37,4.0,Nữ,neutral,"0,346497"
0h03m36s_seg0072.wav,"Hoa Hồng Trên Ngực Trái tập 9 (13) Phát hiện mẹ chồng giả khờ, con dâu nhanh trí bỏ chạy",https://www.youtube.com/watch?v=6ptOd6dqe_o,00:03:36,00:03:40,04.06,Nam,neutral,"0,490907"
0h04m35s_seg0097_part1.wav,"Hoa Hồng Trên Ngực Trái tập 9 (13) Phát hiện mẹ chồng giả khờ, con dâu nhanh trí bỏ chạy",https://www.youtube.com/watch?v=6ptOd6dqe_o,00:04:35,00:04:39,4.0,Nữ,neutral,"0,418484"
0h04m35s_seg0097_part2.wav,"Hoa Hồng Trên Ngực Trái tập 9 (13) Phát hiện mẹ chồng giả khờ, con dâu nhanh trí bỏ chạy",https://www.youtube.com/watch?v=6ptOd6dqe_o,00:04:35,00:04:39,4.0,Nữ,anger,"0,53585"
0h05m14s_seg0114.wav,"Hoa Hồng Trên Ngực Trái tập 9 (13) Phát hiện mẹ chồng giả khờ, con dâu nhanh trí bỏ chạy",https://www.youtube.com/watch?v=6ptOd6dqe_o,00:05:14,00:05:18,4.83,Nữ,anger,"0,424518"
0h05m24s_seg0117.wav,"Hoa Hồng Trên Ngực Trái tập 9 (13) Phát hiện mẹ chồng giả khờ, con dâu nhanh trí bỏ chạy",https://www.youtube.com/watch?v=6ptOd6dqe_o,00:05:24,00:05:27,3.51,Nữ,anger,"0,442656"
0h07m01s_seg0163.wav,"Hoa Hồng Trên Ngực Trái tập 9 (13) Phát hiện mẹ chồng giả khờ, con dâu nhanh trí bỏ chạy",https://www.youtube.com/watch?v=6ptOd6dqe_o,00:07:01,00:07:04,03.06,Nữ,sadness,"0,652657"
0h07m33s_seg0174_part1.wav,"Hoa Hồng Trên Ngực Trái tập 9 (13) Phát hiện mẹ chồng giả khờ, con dâu nhanh trí bỏ chạy",https://www.youtube.com/watch?v=6ptOd6dqe_o,00:07:33,00:07:37,4.0,Nữ,sadness,"0,688725"
0h07m33s_seg0174_part2.wav,"Hoa Hồng Trên Ngực Trái tập 9 (13) Phát hiện mẹ chồng giả khờ, con dâu nhanh trí bỏ chạy",https://www.youtube.com/watch?v=6ptOd6dqe_o,00:07:33,00:07:36,3.19,Nữ,sadness,"0,509111"
