Filename,Movie,Link,Start,End,Duration,Character,Emotion,confidence
0h01m53s_seg0028.wav,GẠO NẾP GẠO TẺ Tập 69 - Công quỳ lạy van xin Hương trở về và kết quả [Full HD],https://www.youtube.com/watch?v=AeVMeoyC38A,00:01:53,00:01:56,3.71,Nữ,anger,"0,269977"
0h02m03s_seg0032.wav,GẠO NẾP GẠO TẺ Tập 69 - Công quỳ lạy van xin Hương trở về và kết quả [Full HD],https://www.youtube.com/watch?v=AeVMeoyC38A,00:02:03,00:02:06,3.38,Nữ,anger,"0,671713"
0h02m17s_seg0038_part1.wav,GẠO NẾP GẠO TẺ Tập 69 - Công quỳ lạy van xin Hương trở về và kết quả [Full HD],https://www.youtube.com/watch?v=AeVMeoyC38A,00:02:17,00:02:21,4.0,Nữ,anger,"0,617982"
0h02m17s_seg0038_part2.wav,GẠO NẾP GẠO TẺ Tập 69 - Công quỳ lạy van xin Hương trở về và kết quả [Full HD],https://www.youtube.com/watch?v=AeVMeoyC38A,00:02:17,00:02:19,3.0,Nữ,anger,"0,672356"
0h02m26s_seg0040.wav,GẠO NẾP GẠO TẺ Tập 69 - Công quỳ lạy van xin Hương trở về và kết quả [Full HD],https://www.youtube.com/watch?v=AeVMeoyC38A,00:02:26,00:02:29,3.49,Nữ,anger,"0,658961"
0h02m36s_seg0044.wav,GẠO NẾP GẠO TẺ Tập 69 - Công quỳ lạy van xin Hương trở về và kết quả [Full HD],https://www.youtube.com/watch?v=AeVMeoyC38A,00:02:36,00:02:39,3.48,Nữ,anger,"0,453311"
0h03m01s_seg0054_part2.wav,GẠO NẾP GẠO TẺ Tập 69 - Công quỳ lạy van xin Hương trở về và kết quả [Full HD],https://www.youtube.com/watch?v=AeVMeoyC38A,00:03:01,00:03:03,2.75,Nữ,anger,"0,678483"
0h03m18s_seg0058.wav,GẠO NẾP GẠO TẺ Tập 69 - Công quỳ lạy van xin Hương trở về và kết quả [Full HD],https://www.youtube.com/watch?v=AeVMeoyC38A,00:03:18,00:03:21,03.04,Nữ,anger,"0,476199"
0h03m33s_seg0064.wav,GẠO NẾP GẠO TẺ Tập 69 - Công quỳ lạy van xin Hương trở về và kết quả [Full HD],https://www.youtube.com/watch?v=AeVMeoyC38A,00:03:33,00:03:36,03.09,Nữ,neutral,"0,53666"
0h04m59s_seg0086.wav,GẠO NẾP GẠO TẺ Tập 69 - Công quỳ lạy van xin Hương trở về và kết quả [Full HD],https://www.youtube.com/watch?v=AeVMeoyC38A,00:04:59,00:05:03,4.97,Nam,sadness,"0,412102"
0h09m23s_seg0146.wav,GẠO NẾP GẠO TẺ Tập 69 - Công quỳ lạy van xin Hương trở về và kết quả [Full HD],https://www.youtube.com/watch?v=AeVMeoyC38A,00:09:23,00:09:27,4.75,Nữ,anger,"0,295404"
0h09m31s_seg0148.wav,GẠO NẾP GẠO TẺ Tập 69 - Công quỳ lạy van xin Hương trở về và kết quả [Full HD],https://www.youtube.com/watch?v=AeVMeoyC38A,00:09:31,00:09:34,3.11,Nữ,anger,"0,494912"
0h09m35s_seg0149_part1.wav,GẠO NẾP GẠO TẺ Tập 69 - Công quỳ lạy van xin Hương trở về và kết quả [Full HD],https://www.youtube.com/watch?v=AeVMeoyC38A,00:09:35,00:09:39,4.0,Nữ,anger,"0,65171"
0h09m48s_seg0152_part1.wav,GẠO NẾP GẠO TẺ Tập 69 - Công quỳ lạy van xin Hương trở về và kết quả [Full HD],https://www.youtube.com/watch?v=AeVMeoyC38A,00:09:48,00:09:52,4.0,Nữ,sadness,"0,391306"
0h09m48s_seg0152_part2.wav,GẠO NẾP GẠO TẺ Tập 69 - Công quỳ lạy van xin Hương trở về và kết quả [Full HD],https://www.youtube.com/watch?v=AeVMeoyC38A,00:09:48,00:09:51,3.5,Nữ,anger,"0,622779"
