Filename,Movie,Link,Start,End,Duration,Character,Emotion,confidence
0h00m49s_seg0002.wav,Hương Vị Tình Thân Tập 1 - Phần 1 PHIM BỘ VIỆT NAM HAY NHẤT 2024 Phim Việt Nam VTV,https://www.youtube.com/watch?v=cR3ol_DzQVw,00:00:49,00:00:52,3.69,Nữ,anger,"0,471023"
0h00m54s_seg0003_part2.wav,Hương Vị Tình Thân Tập 1 - Phần 1 PHIM BỘ VIỆT NAM HAY NHẤT 2024 Phim Việt Nam VTV,https://www.youtube.com/watch?v=cR3ol_DzQVw,00:00:54,00:00:58,4.0,Nữ,anger,"0,643985"
0h02m30s_seg0025.wav,Hương Vị Tình Thân Tập 1 - Phần 1 PHIM BỘ VIỆT NAM HAY NHẤT 2024 Phim Việt Nam VTV,https://www.youtube.com/watch?v=cR3ol_DzQVw,00:02:30,00:02:33,3.54,Nữ,neutral,"0,438193"
0h02m51s_seg0029.wav,Hương Vị Tình Thân Tập 1 - Phần 1 PHIM BỘ VIỆT NAM HAY NHẤT 2024 Phim Việt Nam VTV,https://www.youtube.com/watch?v=cR3ol_DzQVw,00:02:51,00:02:54,3.45,Nữ,anger,"0,679466"
0h02m55s_seg0030.wav,Hương Vị Tình Thân Tập 1 - Phần 1 PHIM BỘ VIỆT NAM HAY NHẤT 2024 Phim Việt Nam VTV,https://www.youtube.com/watch?v=cR3ol_DzQVw,00:02:55,00:02:58,3.39,Nữ,anger,"0,648938"
0h03m12s_seg0038.wav,Hương Vị Tình Thân Tập 1 - Phần 1 PHIM BỘ VIỆT NAM HAY NHẤT 2024 Phim Việt Nam VTV,https://www.youtube.com/watch?v=cR3ol_DzQVw,00:03:12,00:03:15,3.56,Nữ,anger,"0,302669"
0h04m13s_seg0063_part1.wav,Hương Vị Tình Thân Tập 1 - Phần 1 PHIM BỘ VIỆT NAM HAY NHẤT 2024 Phim Việt Nam VTV,https://www.youtube.com/watch?v=cR3ol_DzQVw,00:04:13,00:04:17,4.0,Nữ,anger,"0,65446"
0h06m14s_seg0097_part1.wav,Hương Vị Tình Thân Tập 1 - Phần 1 PHIM BỘ VIỆT NAM HAY NHẤT 2024 Phim Việt Nam VTV,https://www.youtube.com/watch?v=cR3ol_DzQVw,00:06:14,00:06:18,4.0,Nam,happiness,"0,692871"
0h06m14s_seg0097_part2.wav,Hương Vị Tình Thân Tập 1 - Phần 1 PHIM BỘ VIỆT NAM HAY NHẤT 2024 Phim Việt Nam VTV,https://www.youtube.com/watch?v=cR3ol_DzQVw,00:06:14,00:06:18,4.0,Nam,happiness,"0,689596"
0h06m26s_seg0099_part2.wav,Hương Vị Tình Thân Tập 1 - Phần 1 PHIM BỘ VIỆT NAM HAY NHẤT 2024 Phim Việt Nam VTV,https://www.youtube.com/watch?v=cR3ol_DzQVw,00:06:26,00:06:28,2.94,Nam,happiness,"0,672602"
0h06m43s_seg0102.wav,Hương Vị Tình Thân Tập 1 - Phần 1 PHIM BỘ VIỆT NAM HAY NHẤT 2024 Phim Việt Nam VTV,https://www.youtube.com/watch?v=cR3ol_DzQVw,00:06:43,00:06:46,3.92,Nam,Happiness,"0,690556"
0h07m48s_seg0129.wav,Hương Vị Tình Thân Tập 1 - Phần 1 PHIM BỘ VIỆT NAM HAY NHẤT 2024 Phim Việt Nam VTV,https://www.youtube.com/watch?v=cR3ol_DzQVw,00:07:48,00:07:51,3.31,Nam,neutral,"0,682563"
0h08m54s_seg0146.wav,Hương Vị Tình Thân Tập 1 - Phần 1 PHIM BỘ VIỆT NAM HAY NHẤT 2024 Phim Việt Nam VTV,https://www.youtube.com/watch?v=cR3ol_DzQVw,00:08:54,00:08:57,3.39,Nữ,sadness,"0,691865"
